Name,City,Barangay,Province,Amenities,PriceRange,NumberofRooms,OtherData,CustomerReview
Two Seasons Coron Bayside Hotel,Coron,Tagumpay,Busuanga Island,Fitness Center with Gym / Workout Room,6100 to 7900,48,"The town has successfully managed to preserve the historic district where you can still find calesas (horse-drawn carriages). Sample the famous and delicious Ilocos empanada, and walk along cobbled streets lined up with souvenir shops selling pottery and Abel Iloko weaves,","""I really like to commend the service provided by this hotel especially the Front Office team for always accommodating our concerns!Very nice and approachable Front desk officers Aly, Yna and Kourtney!!Kudos to Bellmen Oli and Marco in assisting and guiding us!Also to Kuya Mcdo who is very enthusiastic and drove us safely from airport to hotel and vice-versa!"
New World Makati Hotel,Makati,Esperanza,NCR,Fitness Center with Gym / Workout Room,4800 to 5700,580,"El Nido in Palawan is most famous for its paradise-like islands and lagoons, but a 45-minute ride away through a land tour from its main town takes you to another idyllic destination: Nacpan Beach. ","Very good service. Food is good also. Siaomai little salty. Other is good.environment here is very good also. Reasonable price. I like the congee , toufu and seafood soup here, very delicious. Best for family and friend to come.here"
Taal Vista Hotel,Tagaytay,Aguinaldo,Calabarzon,Fitness Center with Gym / Workout Room,4194 to 6110,261,"Tubbataha Reef is regarded as one of the top diving spots in the Philippines, and perhaps, the world. Located at the heart of the Sulu Sea, it is considered a center of marine biodiversity and a haven not just for divers but marine conservationists as well. The only way to get to this marine sanctuary is through a liveaboard vessel from Puerto Princesa, Palawan. ",Awesome hotel. My family and I were here around the holidays. Beautiful views of the water and mountains. I also enjoyed the live music and drinks at night. Perfect place to relax - we even got in-room massages. Breakfast buffet was worth it - get there early. The dinner buffet I wouldn't recommend though - much better places to eat in the area
Tagaytay Wingate Manor,Tagaytay,Maitim,Calabarzon,Fitness Center with Gym / Workout Room,13333 to 13481,24,"As soon as your flight lands at the airport in Legazpi City, the world’s most perfect volcanic cone, and the most active volcano in the Philippines, greets you with its majesty. Mayon Volcano is one of the most beautiful places to visit in the Philippines and is a top attraction in any Bicol tour.","Place is a bit far from the highway not to mention the road is under construction, you need to take a trike going there easier to go in/out for those who have a private car. No food shops nearby so better buy at the restaurants by the highway but place is quiet and peaceful for those who wants to destress and relax. Staffs are friendly and the place is well kept. Price is reasonable, with complimentary 1 hour massage and a plated breakfast. Room has basic amenities and slippers."
Somerset Alabang Manila,Alabang,Filinvest,NCR,Fitness Center with Gym / Workout Room,6991 to 7000,150,Take a stroll through history lane within the walled city of Intramuros in Manila. This 64-hectare Spanish fortress was erected by Miguel Lopez de Legazpi and was destroyed by the end of World War II.,"It's a priviledge to be able to stay in this great hotel for my quarantine as OFW. I love the LINENS!, bed, pillows, bathroom, cabinets,kitchen, just about everything. Would i come back ? FOR SURE! Highly recommended"
Hotel Kimberly Tagaytay,Tagaytay,Kaybagal,Calabarzon,Fitness Center with Gym / Workout Room,3200 to 4420,50,"Locals and foreign visitors from Manila often take a quick escape from the megacity and make their way down south to Tagaytay, a relaxing town famous for its cool weather and magnificent views.","Everything was flawless. Starting from the booking of the reservation up to the dinner date. The Valentine's package they offered was super affordable, and I wasn't expecting that much from the food because of the price but the hotel surpassed my expectations. We had 2 starters, pasta, 1 main course and dessert. I requested for a proposal set up and my request was granted with ease. I couldn't ask for a better proposal at all. Thank you hotel Kimberly and thank you all the staf"
DusitD2 Davao,Davao,Stella Hizon,Mindanao,Fitness Center with Gym / Workout RoomBar / lounge Children Activities,2744 to 4900,120,"If you like jumping into or swimming in cool cascading waters, Kawasan Falls in Cebu hits the sweet spot. It is a multi-layered waterfall in the town of Badian, and is best known for its turquoise waters.",Beautiful hotel with excellent customer service are best to describe DusitD2 Davao. We stayed for two nights and availed the Delight in deluxe package. A perfect getaway for a well deserved treat from my sister (in manila) for me and our little munchkins (nephew&niece).
Acacia Hotel Manila,Alabang,Filinvest,NCR,Free breakfast Kids stay free Free shuttle or taxi services Business Center with Internet Access,3987 to 4914,262,"Undoubtedly one of the most photographed and iconic destinations in the Philippines is Kayangan Lake in Coron, Palawan. Its lagoon is a dreamy mix of blues and greens glistening on a bright, sunny day.","When I travelled with my friend in the Philippines earlier 2019, we stayed in Acacia Hotel as we will be travelling around south of the metro manila. its 1 hour or less away from the airport, and has few malls and variety of restaurants around. The rooms we stayed in is comfortable and spacious enough. Breakfast buffet was also good"
Kandaya Resort,Daanbantayan,Agujo,Cebu,Free breakfast Beach Tennis court Children Activities,7904 to 9730,40,Many travelers skip Manila and make their way to the Philippines' other islands but a day or two in the country’s capital to go on Manila tours is still highly recommended.,"We had a wonderful time here. The beachside villa was modern and clean luxury with all the amenities. A giant bathroom, huge private pool, and a clean beach. The restaurant was delicious and had tons of local foods to try. And the staff helped us with any request They even arranged a pick-up from Cebu. Everything was excellent"
THE PENINSULA MANILA,Makati,Ayala cor Makati,NCR,Banquets & Meetings Business Center,5514 to 5680,498,The Ifugao people were highly skilled in carving both wood and mountainsides. The Banaue Rice Terraces is listed as a UNESCO World Heritage Site. It offers spectacular views of emerald hues during the rice-growing seasons of April-May and October-November.,"I waited for almost five months to write this review about my stay.I waited because nobody really cares about reading the Hotel reviews right now since the travel is limited and the world is facing a pandemic,plus i wanted Peninsula to get full credit of my amazing stay.I am still not sure if it is the right time.I was there is February."
Bayview Park Hotel Manila,Manila,United Nations,NCR,Free breakfast Children Activities Airport transportationBusiness Center with Internet Access,2275 to 2938,282,"Siargao’s rise as a top tourist spot in the Philippines is nothing short of meteoric. Once a sleepy island in Surigao del Norte, it has become one of the favorite destinations and playgrounds for travelers, and it is primarily because of one activity: surfing.",My gf stayed here when her flight was cancelled. She awoke in the middle of the night and had started her menstrual cycle and got blood on the sheets. She asked the desk for help and explained it was an accident and had no pads for her. Then proceeded to charge her 2500 Pesos for new sheets. What a bunch of Disgusting F@453! STAY AWAY FROM HERE! DO NOT STAY HERE!
Sofitel Philippine Plaza Manila,Manila,Roxas Boulevard,NCR,Valet parkingFree High Speed Internet (WiFi) PoolFitness Center with Gym / Workout Room,6492 to 7067,609,"The gateway to the Philippines’ Last Frontier, Palawan, is its capital Puerto Princesa. It is here that you can find the world’s longest navigable underground river and a UNESCO World Heritage Site, the Puerto Princesa Underground River or the Puerto Princesa Subterranean River National Park.","10/10 Experience in Spiral! They definitely have met my expectations not only in the service but also the quality food they offer. The Foie Gras is a must try! Thank you to the staff, especially Ima, Tin, Regine, Bon, Jess, and Chef Bettina. They were very friendly and accommodating. They alwats catered to our requests. Overall, my family and I had a pleasant experience and definitely can't wait to come back!"
Red Planet Manila Bay,Manila,Manila Bay,NCR,Business Center with Internet Access24-hour securityBaggage storage24-hour front desk,1800 to 2017,150,"Included in the UNESCO World Heritage Natural Monuments list, the Chocolate Hills of Bohol are a geomorphic wonder and truly a sight to behold. It is one of the best places in the Philippines to offer a unique landscape, with its 1,268 cone-shaped hills that turn chocolatey brown during the dry season, hence its name.","In my 5 years living in the Philippines and monthly stays at other quarantine hotels this is the very worst experience I’ve had here or even anywhere ever. You will starve or eat squatter food for 6 days. No food delivery, room service or decent meals. Lousy staff. Gross. Don’t believe the good reviews like I did"
1775 Adriatico Suites,Manila,Brgy 699,NCR,Free breakfastChildren's television networksHighchairs availableAirport transportation,1678 to 2233,36,"Long hailed as one of the best beaches in the entire world, Boracay’s claim to fame is its 4-kilometer stretch of pure white, powdery sand called White Beach.","Overall stay was so perfect that we actually planned on returning again soon. The staffs were friendly, room was clean, the pool was amazing, and the food is nice. At first you will think that the location is not so good, but once you get inside, it will be a breath of fresh air. Just want to advice people that there's a 2000 php deposit once you check in, so bring some extra cash."
Hotel Kimberly Manila,Manila,Malate,NCR,"Books, DVDs, music for childrenAirport transportationBusiness Center with Internet Access",2082 to 2162,58,"It is a trek to get to the hanging coffins in Sagada, located deep in the northern Cordillera Mountains, but the sight is something most people in the world will never see. The hanging coffins, some centuries old, are suspended from the cliffs of the Echo Valley. These ceremonial burials were reserved for the wealthy tribesmen.","thank you and GOD BLESS,I'm very much appreciate your good service and the hotel room are neat and clean. the operator can assist you actively, when you orders some food they can served you not later a half hour"
City Garden Suites,Manila,Ermita,NCR,MicrowaveRefrigeratorFlatscreen TV,1786 to 2394,142,"A tour of Corregidor Island is a must-see for history buffs visiting the Philippines. The island played a significant role in World War II and was the location of several battles. The relics left behind from these battles include secret tunnels and bunkers used as hideouts during the war, as well as weapons, barracks, and historical artifacts.","Stayed for 3 nights because I need to do my check up at St. Lukes, just walking distance from the hotel. Due to covid 19 I chose to booked a place closer to St. Lukes for convenience. The free breakfast needs an improvement. The room is clean."
Regency Grand Suites,Manila,Brich Condo,NCR,Bicycles availableChildren Activities ,1710 to 1896,61,The only thing more exciting than admiring one of the most notable waterfalls in the Philippines is traversing it in a dugout canoe. The Pagsanjan Falls waterfall is part of the Pagsanjan Gorge National Park.,"Super ganda ng ambiance lalo n pag need mo ng piece of mind. Mgnda ang room nla, mlamig ang aircon at malinis...thank k ms dang sa pag asikaso s kin smula pgpunta plng...thanks dn k rap at k regie...super friendly sila...babalik kme jn promise...god bless"
Heroes Hotel,Manila,Florentiono,NCR,Free breakfastEvening entertainmentKids stay free,1360 to 1786,50,"If you are unsure where to snorkel to see some of the best coral, taking an organized trip to the Coral Garden is an easy introduction to the sport. Guides are able to point out sea turtles and fish and offer information about what kinds of coral you are viewing underwater.","This hotel has my preference due to the location and comfort and it's easily accessible with grab or taxi, there's even a bus stop right in front of the hotel.The rooms are clean and very nice and all have their private theme, I stayed in the room of Albert Einstein.On the rooftop there's a bar and restaurant and breakfast is also served at this location.If you want to be a Hero, stay at the Heroes Hotel"
The Manila Hotel,Manila,Rizal Park,NCR,hotel_amenity_evening_entertainment,3871 to 4654,149,"You can take a tour of the former Subic Bay Naval Base and tour the converted complex, which has a number of activities on-site. Subic Bay is located on the island of Luzon, so it is an easy day trip from Manila, or you can stay in the region.","Been here as our flight was cancelled. Crowded hotel lounge but staff are accommodating. Breakfast was exquisite! Room is tidy, spacious enough and you can also request for a crib for your tod’s safety as beds are high( if i remember it right).One downside for this hotel is the pool. It is small but def i will go back there!Thanks Manila Hotel"
Wanderers Guest House,Manila,Nakpil,NCR,hotel_amenity_bar_loungehotel_amenity_beachhotel_amenity_entertainment_staff,794 to 833,46,"Over the years, the bridge, which was was originally made with woven bamboo, has received some safety reinforcements due to its popularity with tourists. Not to worry though, it still creeks and swings and gives you butterflies in your stomach as you look down at the rushing river below you.","If you are staying in Manila. Stay here!Its located close to the mall, to the garden park, so good location. The owner “Edgar” is a very nice and cool Man who comes with a lot of advice for the town.If we ever come to Manila again - we come back for sure"
"Crimson Resort and Spa, Mactan",Cebu,Lapu Lapu,Cebu,Free breakfastBeachCasino and GamblingKids stay free,4151 to 5170,250,"Mention the best tourist destinations in the Philippines and Kayangan Lake in Coron, Palawan is surely in the list. It is dubbed as the “cleanest lake in the Philippines” and some consider it as the cleanest lake in Asia. The water here is clean so it’s perfect for swimming and diving.",We had a unforgettable experience for celebrating our 12 yrs anniversarryMy children love it so much that they dont want to go home 😁The foods are great and as well their servicesPool so clear..crystal clear
Jpark Island Resort & Waterpark,Cebu,Maribago,Cebu,Bar / lounge Beach Evening entertainment,4858 to 5659,557,"Danjugan Island is a rainforest-covered island and rich marine sanctuary that can be reached after a 4-hour drive from Bacolod and a 30-minute boat ride from mainland Cauayan. The island has five lagoons, two of which you can explore by kayak. Since it’s a protected area, fishing is not allowed here, allowing marine life to explode in full color. The best part is, you don’t need to be a scuba diver to enjoy it, you can simply do so by snorkeling.",very nice staff and a good place to catch time with the family. service are exelent and very relaxing place. highly recommended. lots of variety ofnplaces to go. at a very low rate thank you ang god bless
Movenpick Hotel Mactan Island,Cebu,Punta Engano,Cebu,Bar / lounge BeachEvening entertainmentChildren Activities,5920,245,"Have you ever fantasized about having your own private island? Well, you can with Sundang Island in Cavinti, Laguna.",Great experience! Very friendly and accomodating staff especially Raymond
Seda Central Bloc Cebu,Cebu,IT Park,Cebu,Fitness Center with Gym / Workout Room,3810,214,"Visitors in Bulusan flock to the Bulusan Volcano National Park, but not many make it to Bayugin Falls. It's a small waterfall, but the water is very cold and refreshing, especially on a hot and humid day.To get there, drive or take a tricycle up to Bgy. San Francisco. Admission fee is only 15 pesos per guest, vehicle parking costs 20 pesos, and cottages can be rented for 150 pesos.",Most of the time I ask for a room service like to take the trash can and ask for bottle of water and tissues he always give his best greetings and performe his best service.. pls give him credits for the great job well done SEDA HOTEL IT PARK needs more like him
Lubi Resort Santander,Cebu,Poblacion,Cebu,Fitness Center with Gym / Workout Room,5438,6,"Bonbon Beach in Romblon has fine, white sand, clear waters and a beautiful view. I first learned about Bonbon from another travel blog and decided to visit when I was in the province. Luckily, there weren’t too many people around! Make sure to wait until sunset so you get to see the sky turn into variants of red and orange before getting dark. The beach is easily accessible by public transport from the town. Simply board a tricycle, and tell the driver you'd like to go to Bonbon Beach. There are now flights from Manila to Tablas Island, Romblon, your next gateway to the beach.","The resort was very hidden, but it also meant that it was quiet :). Food was very nice and the people very friendly. Room was clean, but the shower was flooded so we had to wait a fair bit before the next person could shower. Only stayed there for one night but very nice for the price"
